cement_co2,co2,coal_co2,gas_co2,oil_co2,share_global_co2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.015,0.015,0.0,0.0,0.0
0.0,0.084,0.021,0.0,0.063,0.001
0.0,0.092,0.026,0.0,0.066,0.001
0.0,0.092,0.032,0.0,0.06,0.001
0.0,0.106,0.038,0.0,0.068,0.002
0.0,0.106,0.043,0.0,0.064,0.002
0.0,0.154,0.062,0.0,0.092,0.002
0.0,0.183,0.062,0.0,0.121,0.002
0.0,0.293,0.077,0.0,0.216,0.004
0.0,0.33,0.092,0.0,0.238,0.004
0.018,0.385,0.11,0.0,0.256,0.004
0.018,0.414,0.127,0.0,0.269,0.004
0.022,0.491,0.176,0.0,0.293,0.005
0.029,0.689,0.297,0.0,0.363,0.007
0.051,0.707,0.264,0.0,0.392,0.007
0.062,0.839,0.3,0.0,0.476,0.008
0.084,1.007,0.381,0.0,0.542,0.009
0.087,1.091,0.429,0.0,0.575,0.009
0.065,1.282,0.399,0.26,0.557,0.01
0.047,1.223,0.332,0.347,0.497,0.009
0.051,0.941,0.363,0.0,0.528,0.007
0.047,1.67,0.437,0.217,0.672,0.011
0.043,1.894,0.359,0.44,0.747,0.012
0.046,1.53,0.191,0.3,0.627,0.009
0.067,1.635,0.311,0.333,0.702,0.01
0.07,1.913,0.305,0.4,0.771,0.011
0.069,2.121,0.399,0.475,0.874,0.012
0.079,1.981,0.425,0.3,0.883,0.011
0.065,2.384,0.451,0.513,0.975,0.013
0.058,2.153,0.576,0.301,0.936,0.011
0.064,2.233,0.352,0.385,1.165,0.011
0.023,1.756,0.316,0.187,0.925,0.009
0.033,1.978,0.333,0.304,1.015,0.01
0.039,2.095,0.385,0.396,0.993,0.011
0.006,2.52,0.385,0.616,1.22,0.013
0.048,2.822,0.393,0.932,1.134,0.014
0.032,3.501,0.4,1.192,1.548,0.017
0.038,3.134,0.425,1.202,1.14,0.015
0.043,3.114,0.443,0.392,2.013,0.015
0.043,2.857,0.366,0.44,1.821,0.013
